City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,78.75,few clouds,-23.1203,-134.9692,People ThankYou
3,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
12,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
18,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
19,Kapaa,US,82.11,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Cap Malheureux,MU,77.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
23,Pakokku,MM,77.29,clear sky,21.3333,95.1,Royal Palace Motel
25,Sokoto,NG,80.51,broken clouds,13.0609,5.239,Grand Ibro Hotel
26,Sibolga,ID,76.64,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
29,Atuona,PF,78.31,few clouds,-9.8,-139.0333,Villa Enata
30,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
32,Acari,PE,75.34,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
33,Touros,BR,81.18,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
37,Semporna,MY,81.77,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
39,Gold Coast,AU,80.24,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
46,Puerto Ayora,EC,80.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
47,Hithadhoo,MV,81.88,few clouds,-0.6,73.0833,Scoop Guest House
51,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
60,Na Wa,TH,78.24,broken clouds,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
61,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
62,Natal,BR,82.62,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
64,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
70,Kavieng,PG,82.94,light rain,-2.5744,150.7967,Nusa Island Retreat
73,Hobyo,SO,77.11,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
75,Kilifi,KE,76.3,broken clouds,-3.6305,39.8499,Baobab Sea Lodge-Kilifi
76,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
77,Villa Bruzual,VE,81.77,overcast clouds,9.3328,-69.1208,hotel italia
81,Pandharpur,IN,77.97,broken clouds,17.6667,75.3333,Pandharinath Lodge and Restaurant
85,Kununurra,AU,85.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
86,Arraial Do Cabo,BR,78.33,clear sky,-22.9661,-42.0278,Pousada Porto Praia
88,Vao,NC,78.31,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
95,Buala,SB,85.86,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
96,Puerto Cabezas,NI,76.91,clear sky,14.0351,-83.3888,Cabaña Caribe
97,Busselton,AU,77.0,broken clouds,-33.65,115.3333,Observatory Guest House
98,Butaritari,KI,80.8,moderate rain,3.0707,172.7902,Isles Sunset Lodge
104,Porto Belo,BR,82.26,moderate rain,-27.1578,-48.5531,Costa Verde Beach Hotel
109,Auki,SB,86.23,broken clouds,-8.7676,160.7034,Auki Motel
113,Pemangkat,ID,78.35,overcast clouds,1.1667,108.9667,Ramah Kost KITA
120,Itarema,BR,77.86,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
121,Morondava,MG,79.63,light rain,-20.2833,44.2833,La Case Bambou
127,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
128,Lorengau,PG,83.08,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
133,Bangkalan,ID,81.03,broken clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
141,Bubaque,GW,75.69,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
148,Dagua,CO,77.5,broken clouds,3.6569,-76.6886,Hostal Río Dagua
149,Yulara,AU,78.64,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
150,Sola,VU,83.25,overcast clouds,-13.8833,167.55,Leumerus Bungalows
155,El Tigre,VE,79.54,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
161,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
165,Nabire,ID,77.99,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
168,Hilo,US,82.13,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
169,Paracuru,BR,75.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
172,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
173,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
176,Bondoukou,CI,81.07,overcast clouds,8.0333,-2.8,Prestige Hotel
181,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
190,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
193,Imbituba,BR,77.83,heavy intensity rain,-28.24,-48.6703,Praia Hotel Imbituba
197,Ternate,ID,82.87,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
207,Carutapera,BR,75.25,overcast clouds,-1.195,-46.02,Lidera
209,Voh,NC,87.82,broken clouds,-20.9667,164.7,Le gîte du Koniambo
211,Kahului,US,89.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
213,Conceicao Da Barra,BR,76.82,scattered clouds,-18.5933,-39.7322,Cricaré Praia Hotel
216,Tecoanapa,MX,81.48,clear sky,16.5167,-98.75,Hotel Manglares
218,Bandarbeyla,SO,75.33,overcast clouds,9.4942,50.8122,JABIR HOTEL
219,Biltine,TD,76.89,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
225,Vung Tau,VN,76.42,overcast clouds,10.346,107.0843,Seaside Resort
228,Champerico,GT,79.34,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
230,Tual,ID,83.88,moderate rain,-5.6667,132.75,Grand Vilia Hotel
232,Namatanai,PG,83.39,light rain,-3.6667,152.4333,Seagulls Inn Namatani
244,Luwuk,ID,82.2,light rain,-0.9516,122.7875,Hotel Santika Luwuk
246,Alice Springs,AU,82.22,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
251,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
