City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Indian Head,US,38.6001,-77.1622,50.16,59,100,5.75,overcast clouds
1,Albany,US,42.6001,-73.9662,36.63,82,87,2.93,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,78.75,70,13,6.62,few clouds
3,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,37,8.05,scattered clouds
4,Cidreira,BR,-30.1811,-50.2056,74.5,87,99,2.71,overcast clouds
5,Bredasdorp,ZA,-34.5322,20.0403,60.12,88,0,3.44,clear sky
6,Nizhniy Tsasuchey,RU,50.5167,115.1333,16.03,50,0,7.47,clear sky
7,Jamestown,US,42.097,-79.2353,33.03,57,0,5.75,clear sky
8,Qaanaaq,GL,77.484,-69.3632,-6.23,80,100,2.1,overcast clouds
9,Vila,PT,42.0304,-8.1588,40.69,93,100,11.18,light rain
10,Yellowknife,CA,62.456,-114.3525,0.28,66,94,10.0,overcast clouds
11,Lebu,CL,-37.6167,-73.65,58.55,86,40,22.5,scattered clouds
12,Cayenne,GF,4.9333,-52.3333,81.09,56,75,3.0,broken clouds
13,Kodiak,US,57.79,-152.4072,44.11,81,100,8.05,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,47.86,76,75,4.61,broken clouds
15,Roald,NO,62.5833,6.1333,50.14,53,75,11.5,broken clouds
16,Azul,AR,-36.777,-59.8585,59.41,46,1,5.39,clear sky
17,Limoges,FR,45.75,1.3333,46.67,87,0,10.36,clear sky
18,Avarua,CK,-21.2078,-159.775,82.45,78,75,6.91,broken clouds
19,Kapaa,US,22.0752,-159.319,82.11,71,20,9.22,few clouds
20,Esperance,AU,-33.8667,121.9,67.01,64,52,11.52,broken clouds
21,Marzuq,YE,14.4,46.4667,64.24,18,45,5.66,scattered clouds
22,Cap Malheureux,MU,-19.9842,57.6142,77.47,88,3,1.01,clear sky
23,Pakokku,MM,21.3333,95.1,77.29,34,7,5.55,clear sky
24,Khatanga,RU,71.9667,102.5,-25.17,100,100,4.81,overcast clouds
25,Sokoto,NG,13.0609,5.239,80.51,17,54,10.25,broken clouds
26,Sibolga,ID,1.7427,98.7792,76.64,87,100,1.57,overcast clouds
27,Leh,IN,34.1667,77.5833,3.09,69,43,3.38,scattered clouds
28,Ancud,CL,-41.8697,-73.8203,58.23,89,37,3.83,scattered clouds
29,Atuona,PF,-9.8,-139.0333,78.31,73,16,15.12,few clouds
30,Port Blair,IN,11.6667,92.75,77.04,94,20,1.14,mist
31,Punta Arenas,CL,-53.15,-70.9167,57.31,72,75,12.66,broken clouds
32,Acari,PE,-15.4311,-74.6158,75.34,73,66,4.25,broken clouds
