City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ostrovnoy,RU,2022-03-06 22:11:26,68.0531,39.5131,10.78,89,99,5.84
1,Butaritari,KI,2022-03-06 22:11:27,3.0707,172.7902,81.45,78,24,18.7
2,Great Yarmouth,GB,2022-03-06 22:11:29,52.6083,1.7305,42.46,85,23,12.19
3,Ilinskiy,RU,2022-03-06 22:11:29,55.619,38.1182,29.91,64,75,4.47
4,Zyryanka,RU,2022-03-06 22:11:31,65.75,150.85,-28.19,100,100,1.79
5,Cape Town,ZA,2022-03-06 22:07:50,-33.9258,18.4232,71.28,83,24,13.8
6,Inirida,CO,2022-03-06 22:11:34,3.8653,-67.9239,81.18,74,99,2.44
7,Ushuaia,AR,2022-03-06 22:11:35,-54.8,-68.3,42.42,96,100,2.98
8,Talnakh,RU,2022-03-06 22:11:36,69.4865,88.3972,-28.82,98,40,3.0
9,Pisco,PE,2022-03-06 22:11:37,-13.7,-76.2167,73.45,83,75,8.05
10,Rikitea,PF,2022-03-06 22:11:39,-23.1203,-134.9692,79.29,77,100,18.19
11,Port Alfred,ZA,2022-03-06 22:11:39,-33.5906,26.891,77.88,69,100,9.26
12,Zhigalovo,RU,2022-03-06 22:11:40,54.8097,105.1578,25.34,95,100,5.1
13,Dunedin,NZ,2022-03-06 22:11:42,-45.8742,170.5036,53.8,81,100,3.0
14,Lae,PG,2022-03-06 22:11:43,-6.7221,146.9847,79.27,82,100,6.69
15,Moose Factory,CA,2022-03-06 22:11:44,51.2585,-80.6094,20.26,93,100,10.27
16,Port Elizabeth,ZA,2022-03-06 22:11:45,-33.918,25.5701,76.1,75,100,4.68
17,La Ronge,CA,2022-03-06 22:11:47,55.1001,-105.2842,25.92,80,98,8.16
18,Kobelyaky,UA,2022-03-06 22:11:47,49.1489,34.1965,27.12,82,12,5.06
19,Uzhur,RU,2022-03-06 22:11:48,55.3036,89.8339,24.73,88,99,7.38
20,Kavaratti,IN,2022-03-06 22:11:50,10.5669,72.642,82.0,67,79,8.84
21,Tete,MZ,2022-03-06 22:11:51,-16.1564,33.5867,74.1,86,15,3.6
22,Charters Towers,AU,2022-03-06 22:11:53,-20.1,146.2667,83.8,31,20,7.96
23,Jamestown,US,2022-03-06 22:11:54,42.097,-79.2353,63.72,58,20,16.11
24,Cherskiy,RU,2022-03-06 22:11:55,68.75,161.3,-31.07,100,30,1.07
25,Fortuna,US,2022-03-06 22:11:58,40.5982,-124.1573,60.19,65,0,14.97
26,Kapaa,US,2022-03-06 22:12:00,22.0752,-159.319,81.12,59,20,12.66
27,Rocha,UY,2022-03-06 22:12:00,-34.4833,-54.3333,69.46,87,100,6.58
28,Avarua,CK,2022-03-06 22:12:01,-21.2078,-159.775,82.45,83,75,10.36
29,Busselton,AU,2022-03-06 22:12:04,-33.65,115.3333,66.04,89,2,14.9
30,Hobart,AU,2022-03-06 22:12:06,-42.8794,147.3294,56.12,71,75,10.36
31,Vaini,TO,2022-03-06 22:12:07,-21.2,-175.2,82.56,89,75,13.8
32,Pandamatenga,BW,2022-03-06 22:12:09,-18.5278,25.627,65.25,85,43,3.74
33,Faanui,PF,2022-03-06 22:12:09,-16.4833,-151.75,81.82,72,89,11.7
34,Comodoro Rivadavia,AR,2022-03-06 22:12:11,-45.8667,-67.5,62.46,48,40,6.91
35,Escondido,US,2022-03-06 22:11:12,33.1192,-117.0864,63.72,59,0,9.22
36,Thompson,CA,2022-03-06 22:12:11,55.7435,-97.8558,20.35,86,100,9.06
37,Kunnamangalam,IN,2022-03-06 22:12:12,11.3046,75.8777,77.63,85,66,3.76
38,Saint Anthony,US,2022-03-06 22:12:16,45.0205,-93.218,32.09,82,100,12.66
39,Bluff,NZ,2022-03-06 22:12:16,-46.6,168.3333,51.8,66,100,16.02
40,Mahebourg,MU,2022-03-06 22:12:16,-20.4081,57.7,80.26,84,100,18.72
41,Den Helder,NL,2022-03-06 22:12:18,52.9599,4.7593,39.97,85,75,8.05
42,Lagoa,PT,2022-03-06 22:12:20,39.05,-27.9833,60.37,90,98,34.34
43,Lavrentiya,RU,2022-03-06 22:12:22,65.5833,-171.0,6.91,84,100,8.95
44,Georgetown,MY,2022-03-06 22:12:23,5.4112,100.3354,78.73,83,20,5.75
45,Mosalsk,RU,2022-03-06 22:12:25,54.4881,34.9817,22.46,93,100,8.39
46,New Norfolk,AU,2022-03-06 22:13:25,-42.7826,147.0587,55.76,65,72,3.04
47,Esperance,AU,2022-03-06 22:13:27,-33.8667,121.9,62.06,90,3,6.69
48,Leningradskiy,RU,2022-03-06 22:13:27,69.3833,178.4167,-19.64,96,54,5.91
49,Norman Wells,CA,2022-03-06 22:13:28,65.282,-126.8329,24.21,94,100,13.89
50,Kasongo-Lunda,CD,2022-03-06 22:13:29,-6.4667,16.8167,67.96,86,100,1.19
51,Deputatskiy,RU,2022-03-06 22:13:29,69.3,139.9,-29.7,100,93,1.12
52,Hamilton,US,2022-03-06 22:10:23,39.1834,-84.5333,68.77,87,100,16.11
53,Zhangye,CN,2022-03-06 22:13:30,38.9342,100.4517,37.72,17,66,4.61
54,Vardo,NO,2022-03-06 22:13:30,70.3705,31.1107,22.98,68,0,10.36
55,Te Anau,NZ,2022-03-06 22:13:31,-45.4167,167.7167,49.86,96,100,3.24
56,Mataura,NZ,2022-03-06 22:13:33,-46.1927,168.8643,51.48,90,100,5.68
57,Tirlyanskiy,RU,2022-03-06 22:13:34,54.2109,58.5806,-1.05,98,53,3.98
58,Belmonte,BR,2022-03-06 22:13:35,-15.8631,-38.8828,81.1,81,51,8.14
59,Nikolskoye,RU,2022-03-06 22:13:35,59.7035,30.7861,32.72,97,91,4.07
60,Ribeira Grande,PT,2022-03-06 22:13:36,38.5167,-28.7,59.72,88,98,32.75
61,Vila,PT,2022-03-06 22:13:39,42.0304,-8.1588,37.33,75,8,4.32
62,Dilla,ET,2022-03-06 22:13:41,6.41,38.31,64.29,41,98,4.29
63,Fairbanks,US,2022-03-06 22:11:49,64.8378,-147.7164,28.36,73,100,11.5
64,Saint-Francois,FR,2022-03-06 22:13:41,46.4154,3.9054,29.64,69,0,1.14
65,Severo-Kurilsk,RU,2022-03-06 22:13:42,50.6789,156.125,28.54,79,100,25.32
66,Nalut,LY,2022-03-06 22:13:44,30.3333,10.85,56.25,26,85,8.59
67,Kruisfontein,ZA,2022-03-06 22:13:46,-34.0033,24.7314,73.89,50,100,5.57
68,Punta Arenas,CL,2022-03-06 22:11:32,-53.15,-70.9167,48.31,66,40,6.91
69,Cidreira,BR,2022-03-06 22:13:47,-30.1811,-50.2056,75.18,93,100,4.65
70,Roma,US,2022-03-06 22:13:48,43.2128,-75.4557,71.46,42,75,9.22
71,Tobermory,CA,2022-03-06 22:13:49,45.2501,-81.6665,33.31,85,100,27.54
72,Yarumal,CO,2022-03-06 22:13:49,6.9632,-75.4174,56.03,95,96,2.08
73,Ladario,BR,2022-03-06 22:13:49,-19.0047,-57.6017,86.97,50,81,5.79
